admit_day,recovered,deaths,total
2022-03-13,10,0,10
2022-03-14,2,1,3
2022-03-15,10,1,11
2022-03-16,4,2,6
2022-03-17,3,4,7
2022-03-18,6,1,7
2022-03-19,8,1,9
2022-03-20,2,1,3
2022-03-21,4,3,7
2022-03-22,2,4,6
2022-03-23,1,0,1
2022-03-24,5,1,6
2022-03-25,7,1,8
2022-03-26,4,1,5
2022-03-27,1,1,2
2022-03-28,4,1,5
2022-03-29,4,3,7
2022-03-30,2,1,3
2022-03-31,7,1,8
2022-04-01,7,2,9
2022-04-02,3,3,6
2022-04-03,4,0,4
2022-04-04,10,1,11
2022-04-05,9,1,10
2022-04-06,6,3,9
2022-04-07,8,0,8
2022-04-08,8,0,8
2022-04-09,5,1,6
2022-04-10,4,1,5
2022-04-11,5,1,6
2022-04-12,9,0,9
2022-04-13,6,0,6
2022-04-14,7,0,7
2022-04-15,3,0,3
2022-04-16,5,1,6
2022-04-17,2,0,2
2022-04-18,4,0,4
2022-04-19,5,1,6
2022-04-20,2,4,6
2022-04-21,3,0,3
2022-04-22,7,0,7
2022-04-23,2,1,3
2022-04-24,5,3,8
2022-04-25,7,0,7
2022-04-26,8,0,8
2022-04-28,3,1,4
2022-04-29,7,2,9
2022-04-30,3,0,3
2022-05-01,7,0,7
2022-05-02,5,0,5
2022-05-03,4,2,6
2022-05-04,2,2,4
2022-05-05,4,1,5
2022-05-06,2,0,2
2022-05-07,5,0,5
2022-05-08,1,1,2
2022-05-09,1,0,1
